,url,contr_num_2021-11-28 23:43:03.291911_2021-12-28 23:43:03.291911_{'min_commits': 3},contr_num_2021-11-28 23:43:03.291911_2021-12-28 23:43:03.291911_{'min_commits': 5},forks count,subscribers count,stargazers_count
0,https://github.com/angular/angular,9.0,8.0,20611,3113,78496
1,https://github.com/matsko/ng4-animations-preview,0.0,0.0,52,10,185
2,https://github.com/jamiebuilds/babel-handbook,0.0,0.0,1575,240,10610
3,https://github.com/michaelwilcox/site,0.0,0.0,0,0,0
4,https://github.com/donnemartin/system-design-primer,0.0,0.0,28782,5904,155746
5,https://github.com/pharo-project/pharo,8.0,8.0,270,43,771
6,https://github.com/pharo-project/pharo,8.0,8.0,270,43,771
7,https://github.com/lewang/jump-char,0.0,0.0,11,5,47
8,https://github.com/gcv/action-spoon,0.0,0.0,0,1,1
9,https://github.com/technomancy/leiningen,1.0,1.0,1638,235,7151
10,https://github.com/redline-smalltalk/redline-smalltalk,0.0,0.0,47,45,309
11,https://github.com/lhazlewood/mvn-multi-module-web-with-jacoco-it,0.0,0.0,5,1,4
12,https://github.com/lhazlewood/ansible-role-test-dependant,0.0,0.0,1,1,0
